Blender 4.5.3 LTS (hash 67807e1800cc built 2025-09-09 01:33:39)
Read blend: "/Users/jiayaochen/Desktop/avalon/assets/chapel/black_chapel.blend"
Fra:1 Mem:114.80M (Peak 114.80M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.056
Fra:1 Mem:114.80M (Peak 114.80M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.059
Fra:1 Mem:114.81M (Peak 114.81M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.060
Fra:1 Mem:114.81M (Peak 114.81M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.061
Fra:1 Mem:114.81M (Peak 114.81M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.065
Fra:1 Mem:114.82M (Peak 114.82M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.066
Fra:1 Mem:114.82M (Peak 114.82M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.067
Fra:1 Mem:114.82M (Peak 114.82M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.068
Fra:1 Mem:114.82M (Peak 114.82M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.071
Fra:1 Mem:114.83M (Peak 114.83M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.072
Fra:1 Mem:114.83M (Peak 114.83M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.073
Fra:1 Mem:114.83M (Peak 114.83M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.074
Fra:1 Mem:114.83M (Peak 114.83M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.075
Fra:1 Mem:114.83M (Peak 114.83M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.076
Fra:1 Mem:114.84M (Peak 114.84M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Great altar pointed arch_pier
Fra:1 Mem:114.84M (Peak 114.84M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Great altar pointed arch_voussoir
Fra:1 Mem:114.85M (Peak 114.85M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Great altar pointed arch_voussoir.002
Fra:1 Mem:114.85M (Peak 114.85M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Great altar pointed arch_voussoir.003
Fra:1 Mem:114.85M (Peak 114.85M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Great altar pointed arch_voussoir.005
Fra:1 Mem:114.85M (Peak 114.85M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Great altar pointed arch_voussoir.006
Fra:1 Mem:114.86M (Peak 114.86M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Great altar pointed arch_voussoir.007
Fra:1 Mem:114.86M (Peak 114.86M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Great altar pointed arch_voussoir.011
Fra:1 Mem:114.86M (Peak 114.86M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Great altar pointed arch_voussoir.012
Fra:1 Mem:114.87M (Peak 114.87M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Great altar pointed arch_voussoir.013
Fra:1 Mem:114.87M (Peak 114.87M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Great altar pointed arch_voussoir.014
Fra:1 Mem:114.87M (Peak 114.87M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Great altar pointed arch_voussoir.016
Fra:1 Mem:114.87M (Peak 114.87M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Great altar pointed arch_voussoir.018
Fra:1 Mem:114.88M (Peak 114.88M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Great altar pointed arch_voussoir.020
Fra:1 Mem:114.88M (Peak 114.88M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Great altar pointed arch_voussoir.021
Fra:1 Mem:114.88M (Peak 114.88M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Great altar pointed arch_voussoir.023
Fra:1 Mem:114.88M (Peak 114.88M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Great altar pointed arch_voussoir.024
Fra:1 Mem:114.89M (Peak 114.89M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Altar outer moulding_voussoir
Fra:1 Mem:114.89M (Peak 114.89M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Altar outer moulding_voussoir.001
Fra:1 Mem:114.89M (Peak 114.89M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Altar outer moulding_voussoir.002
Fra:1 Mem:114.89M (Peak 114.89M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Altar outer moulding_voussoir.003
Fra:1 Mem:114.89M (Peak 114.89M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Altar outer moulding_voussoir.004
Fra:1 Mem:114.90M (Peak 114.90M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Altar outer moulding_voussoir.005
Fra:1 Mem:114.91M (Peak 114.91M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Altar outer moulding_voussoir.006
Fra:1 Mem:114.91M (Peak 114.91M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Altar outer moulding_voussoir.011
Fra:1 Mem:114.92M (Peak 114.92M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Altar outer moulding_voussoir.012
Fra:1 Mem:114.92M (Peak 114.92M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Altar outer moulding_voussoir.017
Fra:1 Mem:114.92M (Peak 114.92M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Altar outer moulding_voussoir.018
Fra:1 Mem:114.93M (Peak 114.93M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Altar outer moulding_voussoir.021
Fra:1 Mem:114.93M (Peak 114.93M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Altar outer moulding_voussoir.022
Fra:1 Mem:114.93M (Peak 114.93M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Altar outer moulding_voussoir.023
Fra:1 Mem:114.94M (Peak 114.94M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Altar outer moulding_voussoir.024
Fra:1 Mem:114.94M (Peak 114.94M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Altar outer moulding_voussoir.025
Fra:1 Mem:114.94M (Peak 114.94M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WallNiche_pier
Fra:1 Mem:114.94M (Peak 114.94M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WallNiche_voussoir
Fra:1 Mem:114.94M (Peak 114.94M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WallNiche_voussoir.001
Fra:1 Mem:114.94M (Peak 114.94M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WallNiche_voussoir.002
Fra:1 Mem:114.94M (Peak 114.94M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WallNiche_voussoir.004
Fra:1 Mem:114.95M (Peak 114.95M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WallNiche_voussoir.005
Fra:1 Mem:114.96M (Peak 114.96M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WallNiche_voussoir.006
Fra:1 Mem:114.96M (Peak 114.96M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WallNiche_voussoir.007
Fra:1 Mem:114.96M (Peak 114.96M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WallNiche_voussoir.008
Fra:1 Mem:114.96M (Peak 114.96M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WallNiche_voussoir.010
Fra:1 Mem:114.96M (Peak 114.96M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WallNiche_voussoir.012
Fra:1 Mem:114.97M (Peak 114.97M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WallNiche_voussoir.013
Fra:1 Mem:114.97M (Peak 114.97M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WallNiche_voussoir.014
Fra:1 Mem:114.97M (Peak 114.97M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WallNiche_voussoir.015
Fra:1 Mem:114.97M (Peak 114.97M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WallNiche_voussoir.016
Fra:1 Mem:114.97M (Peak 114.97M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WallNiche_voussoir.019
Fra:1 Mem:114.98M (Peak 114.98M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WallNiche_voussoir.021
Fra:1 Mem:114.98M (Peak 114.98M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WallNiche_voussoir.022
Fra:1 Mem:114.98M (Peak 114.98M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WallNiche_voussoir.023
Fra:1 Mem:114.99M (Peak 114.99M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WallNiche_voussoir.024
Fra:1 Mem:114.99M (Peak 114.99M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WallNiche_voussoir.026
Fra:1 Mem:114.99M (Peak 114.99M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WallNiche_voussoir.027
Fra:1 Mem:114.99M (Peak 114.99M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WallNiche_voussoir.030
Fra:1 Mem:114.99M (Peak 114.99M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WallNiche_voussoir.031
Fra:1 Mem:114.99M (Peak 114.99M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WallNiche_voussoir.032
